name_1,name_2,name_3,degree_1,degree_2,degree_3,error
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_2,1,1,1,0.00022422597976401448
dist_centroid__circumcenter,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.00023662320745643228
circumradius,dist_orthocenter__steiner_focus_1,perimeter,1,1,1,0.00024062521697487682
dist_centroid__steiner_focus_2,inradius,semiperimeter,1,1,1,0.00024132325779646635
dist_centroid__circumcenter,dist_circumcenter__incenter,perimeter,1,1,1,0.00024330063024535775
dist_centroid__steiner_focus_1,dist_circumcenter__incenter,perimeter,1,1,1,0.0002463563869241625
circumradius,dist_circumcenter__incenter,semiperimeter,1,1,1,0.00024766981368884444
dist_centroid__steiner_focus_1,dist_circumcenter__incenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.0002529066405259073
dist_centroid__incenter,dist_centroid__steiner_focus_1,perimeter,1,1,1,0.0002529433695599437
dist_centroid__steiner_focus_1,dist_circumcenter__orthocenter,perimeter,1,1,1,0.00025331866345368326
dist_centroid__steiner_focus_2,dist_circumcenter__incenter,perimeter,1,1,1,0.0002557816624175757
dist_centroid__incenter,dist_centroid__steiner_focus_2,perimeter,1,1,1,0.00025753010413609445
dist_centroid__orthocenter,dist_centroid__steiner_focus_1,perimeter,1,1,1,0.0002639450249262154
dist_centroid__steiner_focus_2,dist_orthocenter__steiner_focus_1,perimeter,1,1,1,0.0002649965463206172
dist_centroid__steiner_focus_1,dist_circumcenter__incenter,semiperimeter,1,1,1,0.00027285501710139215
dist_centroid__steiner_focus_1,dist_incenter__orthocenter,perimeter,1,1,1,0.0002738062757998705
dist_centroid__circumcenter,dist_centroid__steiner_focus_1,perimeter,1,1,1,0.0002766489633359015
area,dist_circumcenter__orthocenter,perimeter,2,1,1,0.00027725816471502185
dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_2,perimeter,1,1,1,0.0002797766646835953
dist_centroid__steiner_focus_2,dist_incenter__orthocenter,perimeter,1,1,1,0.00028781549190171063
dist_centroid__orthocenter,dist_centroid__steiner_focus_2,perimeter,1,1,1,0.00028794005629606545
dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_1,perimeter,1,1,1,0.0002884968707803637
area,dist_centroid__orthocenter,perimeter,2,1,1,0.0002913030330091715
dist_centroid__steiner_focus_1,dist_orthocenter__steiner_focus_1,perimeter,1,1,1,0.00029285941855050623
dist_centroid__incenter,dist_centroid__steiner_focus_1,dist_incenter__steiner_focus_1,1,1,1,0.0002943660656455904
dist_centroid__incenter,dist_centroid__orthocenter,dist_circumcenter__incenter,1,1,1,0.0002980195276904851
area,dist_orthocenter__steiner_focus_1,perimeter,2,1,1,0.0003010045038536191
dist_centroid__steiner_focus_1,dist_circumcenter__steiner_focus_2,perimeter,1,1,1,0.0003034670080523938
dist_centroid__incenter,dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_1,1,1,1,0.0003180180210620165
dist_centroid__steiner_focus_1,dist_circumcenter__steiner_focus_1,perimeter,1,1,1,0.0003196403558831662
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_circumcenter__steiner_focus_2,1,1,1,0.0003203951637260616
area,dist_circumcenter__incenter,inradius,2,1,1,0.00032120043761096895
dist_circumcenter__orthocenter,inradius,semiperimeter,1,1,1,0.00032219631248153746
dist_centroid__incenter,dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_2,1,1,1,0.0003310394240543246
circumradius,dist_centroid__steiner_focus_2,perimeter,1,1,1,0.00033327622804790735
area,dist_circumcenter__steiner_focus_2,perimeter,2,1,1,0.0003342166019137949
circumradius,dist_orthocenter__steiner_focus_2,semiperimeter,1,1,1,0.00033917182008735836
dist_centroid__circumcenter,dist_incenter__orthocenter,dist_steiner_focus_1__steiner_focus_2,1,1,1,0.0003452588862273842
dist_centroid__circumcenter,dist_centroid__steiner_focus_2,perimeter,1,1,1,0.00034535781014710665
area,dist_circumcenter__steiner_focus_2,inradius,2,1,1,0.0003472748794592917
area,circumradius,perimeter,2,1,1,0.00034817756386473775
area,dist_circumcenter__steiner_focus_1,perimeter,2,1,1,0.0003536268777679652
dist_centroid__steiner_focus_1,dist_orthocenter__steiner_focus_2,perimeter,1,1,1,0.0003551888221409172
area,dist_centroid__circumcenter,perimeter,2,1,1,0.00035534927155822515
dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_2,semiperimeter,1,1,1,0.0003555678413249552
circumradius,dist_centroid__steiner_focus_1,perimeter,1,1,1,0.0003576888411771506
area,dist_steiner_focus_1__steiner_focus_2,perimeter,2,1,1,0.0003632889420259744
area,dist_centroid__circumcenter,inradius,2,1,1,0.00036389302113093436
dist_steiner_focus_1__steiner_focus_2,inradius,semiperimeter,1,1,1,0.00036977307172492146
circumradius,dist_circumcenter__steiner_focus_1,perimeter,1,1,1,0.00037588775740005076
circumradius,dist_circumcenter__steiner_focus_2,perimeter,1,1,1,0.00037644579424522817
