name_1,name_2,name_3,real_error,null_mean,null_std,z_score,ratio
dist_centroid__steiner_focus_1,dist_orthocenter__steiner_focus_1,dist_steiner_focus_1__steiner_focus_2,0.00868124387963441,0.31250104291354236,0.18593774600717838,1.6339866732717012,0.02777988770436262
dist_centroid__circumcenter,dist_centroid__orthocenter,dist_circumcenter__steiner_focus_2,0.0032038271364315477,0.11471916411788198,0.032892283563006386,3.3903190931647744,0.02792756695070922
dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,inradius,0.010589924325982712,0.3778477702523006,0.01098719333022931,33.42599287079742,0.028026959955093803
dist_circumcenter__steiner_focus_2,dist_incenter__orthocenter,dist_orthocenter__steiner_focus_2,0.002935054946586228,0.10452216343222272,0.02768921882415951,3.66883259259735,0.028080694564741392
dist_centroid__circumcenter,dist_centroid__incenter,dist_orthocenter__steiner_focus_1,0.0033425230873185014,0.11892472608432224,0.04107891233303809,2.8136626904808697,0.028106207997052886
dist_circumcenter__steiner_focus_2,dist_orthocenter__steiner_focus_1,semiperimeter,0.005810928973880755,0.2054868319602002,0.06548494183039569,3.049188063776172,0.02827883868980104
dist_incenter__orthocenter,dist_orthocenter__steiner_focus_2,perimeter,0.008670649179435937,0.3004039230310645,0.12153784594854669,2.400349221057731,0.028863302089897517
dist_circumcenter__orthocenter,dist_circumcenter__steiner_focus_2,semiperimeter,0.0034893533764437036,0.11847775019709532,0.007736138061472886,14.863798436239248,0.029451549937764186
dist_centroid__circumcenter,dist_circumcenter__orthocenter,dist_incenter__steiner_focus_1,0.004392338110670027,0.14862053028633315,0.04103597758564396,3.514676648671335,0.02955404682117419
dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_1,0.0038407097828918675,0.1285272229441592,0.027425224118360167,4.5464172917294166,0.029882461434341645
dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_1,perimeter,0.004741637278048465,0.1585223267852231,0.0874483005519228,1.7585326248377655,0.02991147918534378
dist_centroid__steiner_focus_2,dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_2,0.002896098548767439,0.09630390862956208,0.01517547158056648,6.155183355251479,0.030072492279699995
dist_centroid__steiner_focus_1,dist_circumcenter__incenter,dist_incenter__orthocenter,0.00422580318490924,0.13814161114087742,0.03982789585567419,3.3623621102466426,0.030590371358849632
circumradius,dist_circumcenter__steiner_focus_1,dist_incenter__orthocenter,0.0025172099837749845,0.08181525181307124,0.03767812852326956,2.1046173187801176,0.030767001604129044
circumradius,dist_centroid__orthocenter,dist_centroid__steiner_focus_1,0.00859821694126902,0.2775135252592234,0.16152567154591727,1.6648456294546916,0.03098305545013522
dist_centroid__steiner_focus_1,dist_centroid__steiner_focus_2,dist_incenter__steiner_focus_1,0.01149770718933017,0.3659636044975132,0.018456279778229504,19.205706760378696,0.031417624725598364
dist_centroid__steiner_focus_2,dist_circumcenter__steiner_focus_1,dist_orthocenter__steiner_focus_1,0.008331810304150823,0.26472599516109424,0.09445777840159308,2.7143787329707005,0.031473336417455526
dist_centroid__circumcenter,dist_centroid__steiner_focus_2,dist_steiner_focus_1__steiner_focus_2,0.006807940115930308,0.21609875061025385,0.068396624247236,3.0599581894245502,0.031503838391961865
circumradius,dist_circumcenter__orthocenter,dist_incenter__orthocenter,0.003428116764454206,0.10649795684049268,0.0304805624439647,3.381494034617029,0.03218950734978576
dist_circumcenter__orthocenter,dist_orthocenter__steiner_focus_2,inradius,0.004438496322475595,0.13786418060871805,0.03188860863807007,4.184117463405187,0.03219470280734342
dist_incenter__orthocenter,dist_incenter__steiner_focus_1,dist_orthocenter__steiner_focus_1,0.006627816269992964,0.20408645879816137,0.08840582071542048,2.2335479828165434,0.0324755317379865
dist_centroid__circumcenter,dist_circumcenter__steiner_focus_2,perimeter,0.003976772471894892,0.12223964787708601,0.03630638219970731,3.2573577492429004,0.03253259102884199
